train|MSE,epoch,step,val|MSE,val|MAE,val|MAPE
0.46168798208236694,0,49,,,
0.34461647272109985,0,99,,,
0.12051800638437271,0,149,,,
,0,189,0.6193384528160095,0.6814489960670471,0.9682703614234924
0.43900591135025024,1,199,,,
0.4952092170715332,1,249,,,
0.20240065455436707,1,299,,,
0.1278964877128601,1,349,,,
,1,379,0.5415995717048645,0.6216505765914917,0.9365749955177307
0.3906998634338379,2,399,,,
0.39220330119132996,2,449,,,
0.18733590841293335,2,499,,,
0.15528976917266846,2,549,,,
,2,569,0.4950258731842041,0.5755250453948975,0.9172102212905884
0.265586256980896,3,599,,,
0.2861824631690979,3,649,,,
0.1282469779253006,3,699,,,
0.1830519288778305,3,749,,,
,3,759,0.4735583961009979,0.5443044304847717,0.912808895111084
0.2532804012298584,4,799,,,
0.16113732755184174,4,849,,,
0.0683341771364212,4,899,,,
0.150121808052063,4,949,,,
,4,949,0.4671168029308319,0.5274283289909363,0.921354353427887
0.1066882386803627,5,999,,,
0.08331208676099777,5,1049,,,
0.09529276192188263,5,1099,,,
,5,1139,0.4695775806903839,0.5206116437911987,0.9379234313964844
0.11096806824207306,6,1149,,,
0.13446681201457977,6,1199,,,
0.09100571274757385,6,1249,,,
0.14140699803829193,6,1299,,,
,6,1329,0.47502684593200684,0.5195111036300659,0.9583948850631714
0.13946527242660522,7,1349,,,
0.12002197653055191,7,1399,,,
0.07734432071447372,7,1449,,,
0.1699220836162567,7,1499,,,
,7,1519,0.4833298921585083,0.5239138007164001,0.9821130037307739
0.07831835746765137,8,1549,,,
0.12999798357486725,8,1599,,,
0.11240304261445999,8,1649,,,
0.22152577340602875,8,1699,,,
,8,1709,0.4913131594657898,0.529469907283783,1.0043249130249023
0.1520293802022934,9,1749,,,
0.07941164821386337,9,1799,,,
0.05578877031803131,9,1849,,,
0.0953407734632492,9,1899,,,
,9,1899,0.5015547871589661,0.5375163555145264,1.0293595790863037
0.044361263513565063,10,1949,,,
0.06498506665229797,10,1999,,,
0.11996675282716751,10,2049,,,
,10,2089,0.5121275186538696,0.5458074808120728,1.0533167123794556
0.0564650297164917,11,2099,,,
0.07686057686805725,11,2149,,,
0.08654050529003143,11,2199,,,
0.15584640204906464,11,2249,,,
,11,2279,0.5236355066299438,0.5541311502456665,1.0749783515930176
0.08959250152111053,12,2299,,,
0.06384234875440598,12,2349,,,
0.0626441091299057,12,2399,,,
0.1642347276210785,12,2449,,,
,12,2469,0.5354167819023132,0.5625487565994263,1.095684289932251
0.040709249675273895,13,2499,,,
0.11070616543292999,13,2549,,,
0.1060883104801178,13,2599,,,
0.2165057212114334,13,2649,,,
,13,2659,0.5483047962188721,0.5715045928955078,1.116075038909912
0.1300048679113388,14,2699,,,
0.06568266451358795,14,2749,,,
0.05592771992087364,14,2799,,,
0.08267810940742493,14,2849,,,
,14,2849,0.5594167709350586,0.5791189074516296,1.1326360702514648
0.033814437687397,15,2899,,,
0.05808613449335098,15,2949,,,
0.09817078709602356,15,2999,,,
,15,3039,0.5702984929084778,0.5860934257507324,1.1465177536010742
0.045313604176044464,16,3049,,,
0.06854916363954544,16,3099,,,
0.07572275400161743,16,3149,,,
0.13973605632781982,16,3199,,,
,16,3229,0.5834880471229553,0.5939067602157593,1.1596907377243042
0.07351675629615784,17,3249,,,
0.04685337841510773,17,3299,,,
0.05502086132764816,17,3349,,,
0.13750678300857544,17,3399,,,
,17,3419,0.5975281000137329,0.6020863652229309,1.1708929538726807
0.027812954038381577,18,3449,,,
0.1053483784198761,18,3499,,,
0.09419570863246918,18,3549,,,
0.19266517460346222,18,3599,,,
,18,3609,0.6128048896789551,0.6106142401695251,1.1818053722381592
0.1198335811495781,19,3649,,,
0.060054488480091095,19,3699,,,
0.05477917194366455,19,3749,,,
0.07414783537387848,19,3799,,,
,19,3799,0.6286898255348206,0.619293212890625,1.1919052600860596
0.030075982213020325,20,3849,,,
0.05158722773194313,20,3899,,,
0.07497760653495789,20,3949,,,
,20,3989,0.6455655097961426,0.6282864212989807,1.201464295387268
0.03900979831814766,21,3999,,,
0.06329212337732315,21,4049,,,
0.06520281732082367,21,4099,,,
0.12105849385261536,21,4149,,,
,21,4179,0.6630579233169556,0.6377450227737427,1.2101037502288818
0.06130332872271538,22,4199,,,
0.03527246415615082,22,4249,,,
0.050091519951820374,22,4299,,,
0.11347626894712448,22,4349,,,
,22,4369,0.6797578930854797,0.6468749046325684,1.2168092727661133
0.019873792305588722,23,4399,,,
0.09864667803049088,23,4449,,,
0.08300532400608063,23,4499,,,
0.1671910583972931,23,4549,,,
,23,4559,0.6957075595855713,0.6553633213043213,1.2215461730957031
0.11309197545051575,24,4599,,,
0.05579999089241028,24,4649,,,
0.05397310107946396,24,4699,,,
0.06732305139303207,24,4749,,,
,24,4749,0.7121599316596985,0.6641639471054077,1.2258005142211914
0.028243767097592354,25,4799,,,
0.04666922613978386,25,4849,,,
0.05836370587348938,25,4899,,,
,25,4939,0.7299718856811523,0.6733974814414978,1.2302273511886597
0.0340697355568409,26,4949,,,
0.05777767300605774,26,4999,,,
0.056616608053445816,26,5049,,,
0.10510175675153732,26,5099,,,
,26,5129,0.7493424415588379,0.6830505728721619,1.234307885169983
0.05109359323978424,27,5149,,,
0.026522653177380562,27,5199,,,
0.0469311885535717,27,5249,,,
0.09533293545246124,27,5299,,,
,27,5319,0.7718805074691772,0.6934505701065063,1.2399202585220337
0.014602520503103733,28,5349,,,
0.09139953553676605,28,5399,,,
0.0730353593826294,28,5449,,,
0.14564985036849976,28,5499,,,
,28,5509,0.7996432781219482,0.7053566575050354,1.2482088804244995
0.10844752937555313,29,5549,,,
0.052294328808784485,29,5599,,,
0.05227212607860565,29,5649,,,
0.061717625707387924,29,5699,,,
,29,5699,0.8294093608856201,0.7168269157409668,1.2561452388763428
0.02779606729745865,30,5749,,,
0.04309519752860069,30,5799,,,
0.048881638795137405,30,5849,,,
,30,5889,0.8630927205085754,0.728888213634491,1.2661532163619995
0.030807355418801308,31,5899,,,
0.05230480805039406,31,5949,,,
0.05018388107419014,31,5999,,,
0.09285766631364822,31,6049,,,
,31,6079,0.9024079442024231,0.7419161796569824,1.2779266834259033
0.043981701135635376,32,6099,,,
0.019732138141989708,32,6149,,,
0.04476539045572281,32,6199,,,
0.08219370990991592,32,6249,,,
,32,6269,0.9489819407463074,0.7561129927635193,1.2923632860183716
0.011917893774807453,33,6299,,,
0.0844016969203949,33,6349,,,
0.06481780856847763,33,6399,,,
0.1277199685573578,33,6449,,,
,33,6459,1.0033187866210938,0.7711837887763977,1.3077961206436157
0.1051330715417862,34,6499,,,
0.049572981894016266,34,6549,,,
0.05050421506166458,34,6599,,,
0.05713331699371338,34,6649,,,
,34,6649,1.0666135549545288,0.7877935171127319,1.3266187906265259
0.02793058380484581,35,6699,,,
0.040696851909160614,35,6749,,,
0.04423639550805092,35,6799,,,
,35,6839,1.1378673315048218,0.8049149513244629,1.3470075130462646
0.028825996443629265,36,6849,,,
0.04659710079431534,36,6899,,,
0.04503410682082176,36,6949,,,
0.08363264799118042,36,6999,,,
,36,7029,1.219251275062561,0.8234965205192566,1.369991421699524
0.039453379809856415,37,7049,,,
0.014869945123791695,37,7099,,,
0.04314287006855011,37,7149,,,
0.07262291014194489,37,7199,,,
,37,7219,1.3079614639282227,0.8434915542602539,1.395243525505066
0.010721373371779919,38,7249,,,
0.07781027257442474,38,7299,,,
0.05834706127643585,38,7349,,,
0.11237499117851257,38,7399,,,
,38,7409,1.4083161354064941,0.8646395206451416,1.4214726686477661
0.10269106179475784,39,7449,,,
0.04757753387093544,39,7499,,,
0.04888368397951126,39,7549,,,
0.053406551480293274,39,7599,,,
,39,7599,1.514904260635376,0.8870173096656799,1.4508676528930664
0.02794424444437027,40,7649,,,
0.03890827298164368,40,7699,,,
0.04239470139145851,40,7749,,,
,40,7789,1.6242228746414185,0.9093270301818848,1.4810919761657715
0.02750736102461815,41,7799,,,
0.04122159630060196,41,7849,,,
0.040973685681819916,41,7899,,,
0.07605406641960144,41,7949,,,
,41,7979,1.7408661842346191,0.932915985584259,1.5127904415130615
0.03688342496752739,42,7999,,,
0.011439450085163116,42,8049,,,
0.042038291692733765,42,8099,,,
0.0654846578836441,42,8149,,,
,42,8169,1.8592013120651245,0.9561668038368225,1.5445071458816528
0.010229024104773998,43,8199,,,
0.07182982563972473,43,8249,,,
0.05303220823407173,43,8299,,,
0.09951246529817581,43,8349,,,
,43,8359,1.9923003911972046,0.9811082482337952,1.5799931287765503
0.1003565788269043,44,8399,,,
0.04598303511738777,44,8449,,,
0.04754965379834175,44,8499,,,
0.050442107021808624,44,8549,,,
,44,8549,2.127854108810425,1.0064669847488403,1.6160815954208374
0.027761436998844147,45,8599,,,
0.03751096874475479,45,8649,,,
0.04187418147921562,45,8699,,,
,45,8739,2.271071195602417,1.0340114831924438,1.6544486284255981
0.026607293635606766,46,8749,,,
0.03679090365767479,46,8799,,,
0.03772277757525444,46,8849,,,
0.06996239721775055,46,8899,,,
,46,8929,2.4133381843566895,1.062634825706482,1.694827675819397
0.03537070006132126,47,8949,,,
0.008962834253907204,47,8999,,,
0.04111403971910477,47,9049,,,
0.06007438153028488,47,9099,,,
,47,9119,2.5616095066070557,1.0938889980316162,1.73799729347229
0.009951889514923096,48,9149,,,
0.06682601571083069,48,9199,,,
0.04864328354597092,48,9249,,,
0.08930239826440811,48,9299,,,
,48,9309,2.7147586345672607,1.1264009475708008,1.7830721139907837
0.09798531234264374,49,9349,,,
0.04465777054429054,49,9399,,,
0.04638368636369705,49,9449,,,
0.04793766513466835,49,9499,,,
,49,9499,2.870936155319214,1.1588205099105835,1.8280949592590332
0.027309713885188103,50,9549,,,
0.03641538694500923,50,9599,,,
0.041924040764570236,50,9649,,,
,50,9689,3.0227842330932617,1.1900882720947266,1.872200846672058
0.025887496769428253,51,9699,,,
0.033199492841959,51,9749,,,
0.03486448898911476,51,9799,,,
0.06503885984420776,51,9849,,,
,51,9879,3.1743643283843994,1.2209059000015259,1.9157646894454956
0.03426924720406532,52,9899,,,
0.007132861763238907,52,9949,,,
0.040281519293785095,52,9999,,,
0.055916354060173035,52,10049,,,
,52,10069,3.3299009799957275,1.2515658140182495,1.9588600397109985
0.00972478836774826,53,10099,,,
0.06254957616329193,53,10149,,,
0.04479352384805679,53,10199,,,
0.08125105500221252,53,10249,,,
,53,10259,3.4926602840423584,1.2828876972198486,2.00345778465271
0.09546728432178497,54,10299,,,
0.04353214055299759,54,10349,,,
0.04529929161071777,54,10399,,,
0.045900262892246246,54,10449,,,
,54,10449,3.649439811706543,1.3127813339233398,2.045802116394043
0.026607677340507507,55,10499,,,
0.03543577343225479,55,10549,,,
0.04207776486873627,55,10599,,,
,55,10639,3.806129217147827,1.3423353433609009,2.087956666946411
0.02526942640542984,56,10649,,,
0.030693933367729187,56,10699,,,
0.03241051360964775,56,10749,,,
0.06083625927567482,56,10799,,,
,56,10829,3.958799123764038,1.3707728385925293,2.1284241676330566
0.03342202678322792,57,10849,,,
0.005824433173984289,57,10899,,,
0.03939288482069969,57,10949,,,
0.05255544185638428,57,10999,,,
,57,11019,4.10653829574585,1.3981355428695679,2.1682193279266357
0.009522246196866035,58,11049,,,
0.05888904631137848,58,11099,,,
0.04164639115333557,58,11149,,,
0.07497096061706543,58,11199,,,
,58,11209,4.2541608810424805,1.42594313621521,2.208627223968506
0.09298024326562881,59,11249,,,
0.04251912981271744,59,11299,,,
0.044415172189474106,59,11349,,,
0.04411529004573822,59,11399,,,
,59,11399,4.411725044250488,1.4550871849060059,2.251417875289917
0.025933008641004562,60,11449,,,
0.034548260271549225,60,11499,,,
0.04217340797185898,60,11549,,,
,60,11589,4.565018177032471,1.4827014207839966,2.2927119731903076
0.024660056456923485,61,11599,,,
0.02898162044584751,61,11649,,,
0.030367344617843628,61,11699,,,
0.057332687079906464,61,11749,,,
,61,11779,4.717002868652344,1.5101423263549805,2.3335533142089844
0.0326116643846035,62,11799,,,
0.004948226269334555,62,11849,,,
0.0385589599609375,62,11899,,,
0.049823492765426636,62,11949,,,
,62,11969,4.8749237060546875,1.538981318473816,2.375985860824585
0.009369771927595139,63,11999,,,
0.05583309382200241,63,12049,,,
0.03899550810456276,63,12099,,,
0.06988229602575302,63,12149,,,
,63,12159,5.03167200088501,1.566133975982666,2.4167258739471436
0.09058941900730133,64,12199,,,
0.04155780375003815,64,12249,,,
0.04369596019387245,64,12299,,,
0.04253479093313217,64,12349,,,
,64,12349,5.180217266082764,1.5923264026641846,2.455801486968994
