train|MSE,epoch,step,val|MSE,val|MAE,val|MAPE
0.26694685220718384,0,49,,,
0.13159510493278503,0,99,,,
0.12159997224807739,0,149,,,
,0,189,0.1864529550075531,0.4053884446620941,0.735162079334259
0.12127241492271423,1,199,,,
0.057822734117507935,1,249,,,
0.1647646427154541,1,299,,,
0.17360538244247437,1,349,,,
,1,379,0.1475917398929596,0.3558013141155243,0.7148429751396179
0.08492657542228699,2,399,,,
0.03533098101615906,2,449,,,
0.11246369779109955,2,499,,,
0.17956499755382538,2,549,,,
,2,569,0.13900959491729736,0.3383391201496124,0.6986889839172363
0.01605311594903469,3,599,,,
0.06810344755649567,3,649,,,
0.1540023684501648,3,699,,,
0.14719372987747192,3,749,,,
,3,759,0.13060157001018524,0.3136444687843323,0.681252121925354
0.1436602920293808,4,799,,,
0.10818573832511902,4,849,,,
0.08412421494722366,4,899,,,
0.1233845204114914,4,949,,,
,4,949,0.12590990960597992,0.30062898993492126,0.6719847917556763
0.027844488620758057,5,999,,,
0.10979929566383362,5,1049,,,
0.09526440501213074,5,1099,,,
,5,1139,0.12298370152711868,0.29460036754608154,0.6649866700172424
0.07881903648376465,6,1149,,,
0.08325162529945374,6,1199,,,
0.09849604964256287,6,1249,,,
0.1260792762041092,6,1299,,,
,6,1329,0.12058117240667343,0.2905299961566925,0.6578695178031921
0.053245048969984055,7,1349,,,
0.04311545193195343,7,1399,,,
0.09274786710739136,7,1449,,,
0.15133187174797058,7,1499,,,
,7,1519,0.11846911162137985,0.28703537583351135,0.6501986980438232
0.014233902096748352,8,1549,,,
0.06185014545917511,8,1599,,,
0.11288078874349594,8,1649,,,
0.14424006640911102,8,1699,,,
,8,1709,0.11626636981964111,0.2832016944885254,0.6417292356491089
0.13617217540740967,9,1749,,,
0.11557461321353912,9,1799,,,
0.06786932796239853,9,1849,,,
0.10912414640188217,9,1899,,,
,9,1899,0.11426494270563126,0.27969157695770264,0.6325793862342834
0.025285640731453896,10,1949,,,
0.09728959947824478,10,1999,,,
0.07091022282838821,10,2049,,,
,10,2089,0.11240231245756149,0.27677345275878906,0.6231138706207275
0.08984623849391937,11,2099,,,
0.0449695885181427,11,2149,,,
0.07811858505010605,11,2199,,,
0.09945137798786163,11,2249,,,
,11,2279,0.11078982800245285,0.2741389572620392,0.6135187745094299
0.04814349487423897,12,2299,,,
0.01685441844165325,12,2349,,,
0.07592003792524338,12,2399,,,
0.12561297416687012,12,2449,,,
,12,2469,0.10971079021692276,0.27260538935661316,0.6044642925262451
0.013461941853165627,13,2499,,,
0.0688769668340683,13,2549,,,
0.08226291835308075,13,2599,,,
0.150504469871521,13,2649,,,
,13,2659,0.1089993268251419,0.27174627780914307,0.5964891314506531
0.12954989075660706,14,2699,,,
0.10780730843544006,14,2749,,,
0.056829456239938736,14,2799,,,
0.09784945100545883,14,2849,,,
,14,2849,0.10787461698055267,0.27102217078208923,0.5901644825935364
0.027289748191833496,15,2899,,,
0.07174759358167648,15,2949,,,
0.05817001312971115,15,2999,,,
,15,3039,0.10763122886419296,0.27220824360847473,0.5857680439949036
0.06363271176815033,16,3049,,,
0.0240306593477726,16,3099,,,
0.06472934782505035,16,3149,,,
0.08984653651714325,16,3199,,,
,16,3229,0.10648979991674423,0.27187058329582214,0.5814059972763062
0.04865269735455513,17,3249,,,
0.004936486016958952,17,3299,,,
0.06855301558971405,17,3349,,,
0.11389622837305069,17,3399,,,
,17,3419,0.10484521090984344,0.270070880651474,0.5768914818763733
0.01299221906810999,18,3449,,,
0.07336796820163727,18,3499,,,
0.06616778671741486,18,3549,,,
0.16115032136440277,18,3599,,,
,18,3609,0.10332867503166199,0.26870056986808777,0.5727232098579407
0.1247899979352951,19,3649,,,
0.08828103542327881,19,3699,,,
0.05654642730951309,19,3749,,,
0.09172464907169342,19,3799,,,
,19,3799,0.1015043780207634,0.2672053575515747,0.5690930485725403
0.025109700858592987,20,3849,,,
0.06671956181526184,20,3899,,,
0.05461522191762924,20,3949,,,
,20,3989,0.09971866011619568,0.26491403579711914,0.5649022459983826
0.04083256050944328,21,3999,,,
0.019214781001210213,21,4049,,,
0.06300636380910873,21,4099,,,
0.0880916565656662,21,4149,,,
,21,4179,0.09748281538486481,0.2618437111377716,0.560317873954773
0.04537185654044151,22,4199,,,
0.0031532691791653633,22,4249,,,
