train|MSE,epoch,step,val|MSE,val|MAE,val|MAPE
0.46548500657081604,0,49,,,
0.17865458130836487,0,99,,,
0.09408003091812134,0,149,,,
,0,189,0.22595787048339844,0.4389049708843231,0.7408283948898315
0.10474544763565063,1,199,,,
0.03985565900802612,1,249,,,
0.14224812388420105,1,299,,,
0.11661174893379211,1,349,,,
,1,379,0.21226100623607635,0.4271876811981201,0.7148011922836304
0.06292114406824112,2,399,,,
0.02373766526579857,2,449,,,
0.09207619726657867,2,499,,,
0.11898576468229294,2,549,,,
,2,569,0.19370101392269135,0.4073750674724579,0.6893064379692078
0.022494342178106308,3,599,,,
0.05565020814538002,3,649,,,
0.09924837946891785,3,699,,,
0.13533097505569458,3,749,,,
,3,759,0.17545953392982483,0.3847431540489197,0.664040207862854
0.1348133087158203,4,799,,,
0.08611161261796951,4,849,,,
0.06872426718473434,4,899,,,
0.08564895391464233,4,949,,,
,4,949,0.16217143833637238,0.36617669463157654,0.644025444984436
0.04003088176250458,5,999,,,
0.06762129068374634,5,1049,,,
0.06820608675479889,5,1099,,,
,5,1139,0.15286459028720856,0.3521728813648224,0.6271461844444275
0.06102386862039566,6,1149,,,
0.03751593828201294,6,1199,,,
0.07946678251028061,6,1249,,,
0.09421543776988983,6,1299,,,
,6,1329,0.14501745998859406,0.3389943540096283,0.6135565042495728
0.04032476618885994,7,1349,,,
0.011319031938910484,7,1399,,,
0.05613812431693077,7,1449,,,
0.08332116156816483,7,1499,,,
,7,1519,0.1403876543045044,0.3309049904346466,0.6036413908004761
0.013525722548365593,8,1549,,,
0.05974208563566208,8,1599,,,
0.0691891759634018,8,1649,,,
0.15524595975875854,8,1699,,,
,8,1709,0.1353985220193863,0.32356616854667664,0.5955402255058289
0.13067759573459625,9,1749,,,
0.07412253320217133,9,1799,,,
0.04743119329214096,9,1849,,,
0.0762925073504448,9,1899,,,
,9,1899,0.1302686631679535,0.31499558687210083,0.5868304371833801
0.039032943546772,10,1949,,,
0.05139530077576637,10,1999,,,
0.06803923100233078,10,2049,,,
,10,2089,0.12558144330978394,0.30720019340515137,0.5789172649383545
0.04861917719244957,11,2099,,,
0.04062901809811592,11,2149,,,
0.06472103297710419,11,2199,,,
0.07696696370840073,11,2249,,,
,11,2279,0.12227814644575119,0.3017899990081787,0.5732925534248352
0.036018047481775284,12,2299,,,
0.012865288183093071,12,2349,,,
0.04644610732793808,12,2399,,,
0.0674929991364479,12,2449,,,
,12,2469,0.11922389268875122,0.2962522506713867,0.5679926872253418
0.015314651653170586,13,2499,,,
0.06179415434598923,13,2549,,,
0.0658874660730362,13,2599,,,
0.14859957993030548,13,2649,,,
,13,2659,0.11625567078590393,0.29262202978134155,0.5639318227767944
0.12232062965631485,14,2699,,,
0.06178256496787071,14,2749,,,
0.05201118066906929,14,2799,,,
0.08586765825748444,14,2849,,,
,14,2849,0.11318009346723557,0.28740301728248596,0.559421718120575
0.045232295989990234,15,2899,,,
0.04815542325377464,15,2949,,,
0.06768898665904999,15,2999,,,
,15,3039,0.10832622647285461,0.2791854441165924,0.5525434017181396
0.058076463639736176,16,3049,,,
0.038922473788261414,16,3099,,,
0.050338760018348694,16,3149,,,
0.0750105082988739,16,3199,,,
,16,3229,0.10638543963432312,0.2762835621833801,0.5509554147720337
0.037691593170166016,17,3249,,,
0.009597176685929298,17,3299,,,
0.039287157356739044,17,3349,,,
0.06280132383108139,17,3399,,,
,17,3419,0.10259362310171127,0.27020263671875,0.547234058380127
0.013248169794678688,18,3449,,,
0.0425458662211895,18,3499,,,
0.06889402121305466,18,3549,,,
