train|MSE,epoch,step,val|MSE,val|MAE,val|MAPE
0.43538016080856323,0,49,,,
0.11892209947109222,0,99,,,
0.12397211790084839,0,149,,,
,0,189,0.19465918838977814,0.41413480043411255,0.7314534187316895
0.0846947729587555,1,199,,,
0.01932925172150135,1,249,,,
0.145341157913208,1,299,,,
0.1319047510623932,1,349,,,
,1,379,0.18902264535427094,0.4077819883823395,0.713391900062561
0.07318057119846344,2,399,,,
0.011070821434259415,2,449,,,
0.10079938173294067,2,499,,,
0.15789712965488434,2,549,,,
,2,569,0.15255898237228394,0.3598598837852478,0.6593071818351746
0.01576879434287548,3,599,,,
0.06590858101844788,3,649,,,
0.10692606121301651,3,699,,,
0.160268634557724,3,749,,,
,3,759,0.11458427459001541,0.2901134192943573,0.5922325253486633
0.13723303377628326,4,799,,,
0.11157302558422089,4,849,,,
0.05442250519990921,4,899,,,
0.09471837431192398,4,949,,,
,4,949,0.11101201176643372,0.27827566862106323,0.5852153301239014
0.021503575146198273,5,999,,,
0.07554410398006439,5,1049,,,
0.05260661989450455,5,1099,,,
,5,1139,0.10538081079721451,0.26925405859947205,0.5818078517913818
0.03952678292989731,6,1149,,,
0.017616404220461845,6,1199,,,
0.07413157820701599,6,1249,,,
0.09168960154056549,6,1299,,,
,6,1329,0.10285352915525436,0.26509562134742737,0.5786250829696655
0.05357436090707779,7,1349,,,
0.0058466969057917595,7,1399,,,
0.07486537098884583,7,1449,,,
0.11640524864196777,7,1499,,,
,7,1519,0.10042455792427063,0.2611282169818878,0.575812041759491
0.014506867155432701,8,1549,,,
0.06738889962434769,8,1599,,,
0.08084054291248322,8,1649,,,
0.17953301966190338,8,1699,,,
,8,1709,0.09828153252601624,0.2573796212673187,0.5724871754646301
0.1277834177017212,9,1749,,,
0.10001163184642792,9,1799,,,
0.05461267754435539,9,1849,,,
0.08911805599927902,9,1899,,,
,9,1899,0.09694299101829529,0.2547095715999603,0.5686711668968201
0.021639494225382805,10,1949,,,
0.07205042988061905,10,1999,,,
0.0557086206972599,10,2049,,,
,10,2089,0.09459924697875977,0.2503071129322052,0.5646870136260986
0.03567244112491608,11,2099,,,
0.017919210717082024,11,2149,,,
0.0685563012957573,11,2199,,,
0.08936034142971039,11,2249,,,
,11,2279,0.09212194383144379,0.24516384303569794,0.5600813031196594
0.050736524164676666,12,2299,,,
0.005360748618841171,12,2349,,,
0.07201460003852844,12,2399,,,
0.11707769334316254,12,2449,,,
,12,2469,0.09061824530363083,0.24219408631324768,0.5557178258895874
0.014177133329212666,13,2499,,,
0.06447536498308182,13,2549,,,
0.07403258234262466,13,2599,,,
0.17293214797973633,13,2649,,,
,13,2659,0.08776521682739258,0.2360827922821045,0.55043625831604
0.12381207942962646,14,2699,,,
