train|MSE,epoch,step,val|MSE,val|MAE,val|MAPE
0.18340453505516052,0,49,,,
0.12965837121009827,0,99,,,
0.08712141215801239,0,149,,,
,0,189,0.21626119315624237,0.42073699831962585,0.7083380818367004
0.03145371377468109,1,199,,,
0.06977090239524841,1,249,,,
0.1372499167919159,1,299,,,
0.15382534265518188,1,349,,,
,1,379,0.17730216681957245,0.37623482942581177,0.6826261281967163
0.06354831159114838,2,399,,,
0.009851403534412384,2,449,,,
0.08504338562488556,2,499,,,
0.13436907529830933,2,549,,,
,2,569,0.15575411915779114,0.3494533598423004,0.6660171151161194
0.023547925055027008,3,599,,,
0.07744918763637543,3,649,,,
0.1210312768816948,3,699,,,
0.1575593501329422,3,749,,,
,3,759,0.13736006617546082,0.3240850865840912,0.6509549021720886
0.12730762362480164,4,799,,,
0.2111724317073822,4,849,,,
0.06615321338176727,4,899,,,
0.09557292610406876,4,949,,,
,4,949,0.12245938181877136,0.30086416006088257,0.6369367241859436
0.12421663105487823,5,999,,,
0.0744093731045723,5,1049,,,
0.05074457451701164,5,1099,,,
,5,1139,0.11111677438020706,0.2809750437736511,0.6243410706520081
0.035721007734537125,6,1149,,,
0.02820323035120964,6,1199,,,
0.08857731521129608,6,1249,,,
0.1060297042131424,6,1299,,,
,6,1329,0.10295160114765167,0.2651522159576416,0.6138865947723389
0.04191191866993904,7,1349,,,
0.011026628315448761,7,1399,,,
0.061948977410793304,7,1449,,,
0.09242871403694153,7,1499,,,
,7,1519,0.0972503125667572,0.2532469928264618,0.6056420207023621
0.018878083676099777,8,1549,,,
0.0741678774356842,8,1599,,,
0.08804094791412354,8,1649,,,
0.16839495301246643,8,1699,,,
,8,1709,0.09313583374023438,0.24431852996349335,0.5989517569541931
0.12319739162921906,9,1749,,,
0.14367476105690002,9,1799,,,
0.052803393453359604,9,1849,,,
0.08521117269992828,9,1899,,,
,9,1899,0.09001673758029938,0.237483948469162,0.5934627056121826
0.08722952753305435,10,1949,,,
0.04882826283574104,10,1999,,,
0.04705279320478439,10,2049,,,
,10,2089,0.08738672733306885,0.23171593248844147,0.5887405872344971
0.030674420297145844,11,2099,,,
0.025698848068714142,11,2149,,,
0.07493792474269867,11,2199,,,
