train|MSE,epoch,step,val|MSE,val|MAE,val|MAPE
0.1881149411201477,0,49,,,
0.1612057387828827,0,99,,,
0.10353957116603851,0,149,,,
,0,189,0.15244053304195404,0.36174410581588745,0.7017838358879089
0.030444016680121422,1,199,,,
0.0445205383002758,1,249,,,
0.09853222966194153,1,299,,,
0.12575210630893707,1,349,,,
,1,379,0.11853896826505661,0.3103283941745758,0.6631103754043579
0.05847387760877609,2,399,,,
0.023750126361846924,2,449,,,
0.0930129885673523,2,499,,,
0.1253075897693634,2,549,,,
,2,569,0.1122397929430008,0.30018407106399536,0.6377430558204651
0.025659926235675812,3,599,,,
0.06467154622077942,3,649,,,
0.09090280532836914,3,699,,,
0.14835670590400696,3,749,,,
,3,759,0.10967066884040833,0.2954433858394623,0.6178538203239441
0.1405947208404541,4,799,,,
0.07912298291921616,4,849,,,
0.05581296607851982,4,899,,,
0.0793951228260994,4,949,,,
,4,949,0.11157844215631485,0.2986493706703186,0.6075993776321411
0.047412142157554626,5,999,,,
0.06726206839084625,5,1049,,,
0.06473112106323242,5,1099,,,
,5,1139,0.11036618798971176,0.2964151203632355,0.601004421710968
0.037078406661748886,6,1149,,,
0.02775539457798004,6,1199,,,
0.0731445699930191,6,1249,,,
0.08333171159029007,6,1299,,,
,6,1329,0.10870731621980667,0.2931990325450897,0.5959034562110901
0.038284312933683395,7,1349,,,
0.008640938438475132,7,1399,,,
0.05623174086213112,7,1449,,,
0.08033767342567444,7,1499,,,
,7,1519,0.10905349254608154,0.2939301133155823,0.5935544967651367
0.015278691425919533,8,1549,,,
0.05767054855823517,8,1599,,,
0.0699198842048645,8,1649,,,
0.1490277796983719,8,1699,,,
,8,1709,0.10520977526903152,0.2865109145641327,0.5862724184989929
0.12307598441839218,9,1749,,,
0.0720122680068016,9,1799,,,
0.05336540564894676,9,1849,,,
0.06742823123931885,9,1899,,,
,9,1899,0.10202117264270782,0.28062179684638977,0.579704761505127
0.043001629412174225,10,1949,,,
0.046187564730644226,10,1999,,,
0.08254516124725342,10,2049,,,
,10,2089,0.09813681989908218,0.2731997072696686,0.5736750960350037
0.03362901136279106,11,2099,,,
0.024367626756429672,11,2149,,,
0.06452929973602295,11,2199,,,
0.068171426653862,11,2249,,,
,11,2279,0.09697286039590836,0.2719000279903412,0.5721931457519531
0.03234129026532173,12,2299,,,
0.012481866404414177,12,2349,,,
0.04915522783994675,12,2399,,,
0.06809518486261368,12,2449,,,
,12,2469,0.09957053512334824,0.2767072319984436,0.5711125731468201
0.01482616551220417,13,2499,,,
0.047313496470451355,13,2549,,,
0.05850011110305786,13,2599,,,
0.12821781635284424,13,2649,,,
,13,2659,0.09220778942108154,0.26232433319091797,0.5614064335823059
0.11955511569976807,14,2699,,,
0.053577106446027756,14,2749,,,
0.060464952141046524,14,2799,,,
0.06763764470815659,14,2849,,,
,14,2849,0.1008148118853569,0.2783438265323639,0.5646890997886658
0.037936992943286896,15,2899,,,
