year,month,day,hour,consumption,generation,dayOfWeek,dayOfYear,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,prev_consumption,consumption_change
-1.0,-1.0,-1.0,-1.0,-0.9208151124099191,-1.0,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-1.0,-0.20680470372208914
-1.0,-1.0,-1.0,-1.0,-0.7099455528748764,-0.999956907563646,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.9208151124099191,-0.06326431480562147
-1.0,-1.0,-1.0,-1.0,-0.7703157305925927,-1.0,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.7099455528748764,-0.24789910733190565
-1.0,-1.0,-1.0,-1.0,-0.7784239870560652,-1.0,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.7703157305925927,-0.21232405079507383
-1.0,-1.0,-1.0,-1.0,-0.824232238030389,-1.0,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.7784239870560652,-0.23798670161185512
-1.0,-1.0,-1.0,-1.0,-0.825458147856749,-1.0,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.824232238030389,-0.20763918914350435
-1.0,-1.0,-1.0,-1.0,-0.819354737527217,-1.0,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.825458147856749,-0.20265006948114161
-1.0,-1.0,-1.0,-1.0,-0.8231291805746876,-0.9994952028884244,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.819354737527217,-0.20937399359100914
-1.0,-1.0,-1.0,-1.0,-0.8359058271231896,-0.8619072096724052,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.8231291805746876,-0.21550185668557997
-1.0,-1.0,-1.0,-1.0,-0.9823850611517279,-0.4162575450239009,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.8359058271231896,-0.3065141462182147
-1.0,-1.0,-1.0,-1.0,-0.9483340434374616,-0.3835996343298971,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.9823850611517279,-0.18362593701681199
-1.0,-1.0,-1.0,-1.0,-0.9875422468391654,-0.20930304140259726,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.9483340434374616,-0.23349400291447092
-1.0,-1.0,-1.0,-1.0,-0.9343027343801052,-0.3351452676809804,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.9875422468391654,-0.1705641939920603
-1.0,-1.0,-1.0,-1.0,-0.8126919568291542,-0.5537901336788935,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.9343027343801052,-0.12402339406038494
-1.0,-1.0,-1.0,-1.0,-0.7545827855076025,-0.605193254186892,-1.0,-1.0,-0.8666666666666667,-0.8787878787878788,-1.0,0.5076923076923081,-1.0,0.94,-0.736842105263158,-0.9534883720930233,-0.8421052631578948,-0.95,0.31914893617021267,0.8600000000000001,-0.24242424242424243,-1.0,0.7297297297297263,-0.8285714285714286,1.0,-0.9554317548746517,0.33333333333333326,-0.8126919568291542,-0.16724938303236647
